,Map,Pokemon,DexID,Morning,Day,Night,MinLvl,MaxLvl,Item,Member,Tier,Type,Path
0,Abandoned Desert Village,Geodude,74,1,1,1,10,14,Everstone,0,Common,Land,sprites/geodude.png
1,Breezy Cave,Geodude,74,1,1,1,17,21,Spring Brush Yellow,0,Common,Land,sprites/geodude.png
2,Cave Of Justice,Geodude,74,1,1,1,26,30,,0,Common,Land,sprites/geodude.png
3,Cliff Cave 1F,Geodude,74,1,1,1,22,26,,0,Common,Land,sprites/geodude.png
4,Cliff Cave 2F,Geodude,74,1,1,1,22,26,,0,Common,Land,sprites/geodude.png
5,Cliff Cave B1F,Geodude,74,1,1,1,23,23,Hard Stone,0,Common,Land,sprites/geodude.png
6,Crystal Cavern,Geodude,74,1,1,1,25,31,,0,Common,Land,sprites/geodude.png
7,Dark Cave North,Geodude,74,1,1,1,23,23,Hard Stone,0,Common,Land,sprites/geodude.png
8,Dark Cave South,Geodude,74,1,1,1,5,7,Hard Stone,0,Common,Land,sprites/geodude.png
9,Diamond Domain 1F,Geodude,74,1,1,1,21,25,Hard Stone,0,Common,Land,sprites/geodude.png
10,Diamond Domain B1F,Geodude,74,1,1,1,21,25,Hard Stone,0,Common,Land,sprites/geodude.png
11,Diamond Domain Main Cave,Geodude,74,1,1,1,21,25,Hard Stone,0,Common,Land,sprites/geodude.png
12,Diamond Empire East Wing,Geodude,74,1,1,1,22,23,,0,Common,Land,sprites/geodude.png
13,Diamond Empire East Wing,Geodude,74,1,1,1,22,31,,0,Common,Land,sprites/geodude.png
14,Dragonspiral Tower 5F,Geodude,74,1,1,1,25,31,,0,Common,Land,sprites/geodude.png
15,Dragonspiral Tower Exterior,Geodude,74,1,1,1,21,25,,0,Common,Land,sprites/geodude.png
16,Eindoak Town,Geodude,74,1,1,1,25,31,,0,Common,Land,sprites/geodude.png
17,Forest Maze Underground,Geodude,74,1,1,1,25,31,,0,Common,Land,sprites/geodude.png
18,Granite Cave 1F,Geodude,74,1,1,1,9,13,Hard Stone,0,Common,Land,sprites/geodude.png
19,Granite Cave 1F2,Geodude,74,1,1,1,12,14,,0,Common,Land,sprites/geodude.png
20,Granite Cave B1F,Geodude,74,1,1,1,12,14,,0,Common,Land,sprites/geodude.png
21,Granite Cave B2F,Geodude,74,1,1,1,12,14,,0,Common,Land,sprites/geodude.png
22,Hoenn Safari Zone Area 4,Geodude,74,1,1,1,18,22,Hard Stone,0,Common,Land,sprites/geodude.png
23,Ice Path 1F,Geodude,74,1,1,0,23,23,Hard Stone,0,Common,Land,sprites/geodude.png
24,Iron Island B2F R,Geodude,74,1,1,1,32,36,,0,Common,Land,sprites/geodude.png
25,Jura Cave,Geodude,74,1,1,1,20,23,Hard Stone,1,Common,Land,sprites/geodude.png
26,Kalijodo Cave B1F,Geodude,74,1,1,1,20,23,Hard Stone,0,Common,Land,sprites/geodude.png
27,Meteor Falls 1F 2R,Geodude,74,1,1,1,14,20,,0,Common,Land,sprites/geodude.png
28,Meteor Falls B1F 1R,Geodude,74,1,1,1,14,20,,0,Common,Land,sprites/geodude.png
29,Meteor Falls B1F 2R,Geodude,74,1,1,1,14,20,,0,Common,Land,sprites/geodude.png
30,Moon 1F,Geodude,74,1,1,1,18,23,Hard Stone,0,Common,Land,sprites/geodude.png
31,Mountain Area Maze,Geodude,74,1,1,1,25,31,,0,Common,Land,sprites/geodude.png
32,Mt. Coronet Center,Geodude,74,1,1,1,13,17,,0,Common,Land,sprites/geodude.png
33,Mt. Coronet South,Geodude,74,1,1,1,17,21,,0,Common,Land,sprites/geodude.png
34,Mt. Ember,Geodude,74,1,1,1,30,38,Hard Stone,0,Common,Land,sprites/geodude.png
35,Mt. Ember Ruby Path 1F,Geodude,74,1,1,1,34,40,Hard Stone,0,Common,Land,sprites/geodude.png
36,Mt. Ember Ruby Path B1F,Geodude,74,1,1,1,34,40,Hard Stone,0,Common,Land,sprites/geodude.png
37,Mt. Ember Ruby Path B2F,Geodude,74,1,1,1,34,40,Hard Stone,0,Common,Land,sprites/geodude.png
38,Mt. Ember Ruby Path B4F,Geodude,74,1,1,1,34,40,,0,Common,Land,sprites/geodude.png
39,Mt. Ember Ruby Path B5F,Geodude,74,1,1,1,34,40,,0,Common,Land,sprites/geodude.png
40,Mt. Ember Summit Path 1F,Geodude,74,1,1,1,30,38,Hard Stone,0,Common,Land,sprites/geodude.png
41,Mt. Ember Summit Path 2F,Geodude,74,1,1,1,30,38,Hard Stone,0,Common,Land,sprites/geodude.png
42,Mt. Ember Summit Path 3F,Geodude,74,1,1,1,30,38,Hard Stone,0,Common,Land,sprites/geodude.png
43,Mt. Moon 1F,Geodude,74,1,1,1,14,16,Hard Stone,0,Common,Land,sprites/geodude.png
44,Mt. Moon B1F,Geodude,74,1,1,1,14,16,Hard Stone,0,Common,Land,sprites/geodude.png
45,Mt. Moon B2F,Geodude,74,1,1,1,14,16,Hard Stone,0,Common,Land,sprites/geodude.png
46,Mt. Mortar B1F,Geodude,74,1,1,1,23,23,,0,Common,Land,sprites/geodude.png
47,Oreburgh Gate B1F,Geodude,74,1,1,1,5,9,,0,Common,Land,sprites/geodude.png
48,Oreburgh Mine B1F,Geodude,74,1,1,1,6,10,,0,Common,Land,sprites/geodude.png
49,Oreburgh Mine B2F 1R,Geodude,74,1,1,1,6,10,,0,Common,Land,sprites/geodude.png
50,Ravaged Path,Geodude,74,1,1,1,5,9,Hard Stone,0,Common,Land,sprites/geodude.png
51,Rock Tunnel 1,Geodude,74,1,1,1,23,23,Hard Stone,0,Common,Land,sprites/geodude.png
52,Rock Tunnel 2,Geodude,74,1,1,1,23,23,Hard Stone,0,Common,Land,sprites/geodude.png
53,Route 206,Geodude,74,0,1,0,15,19,,0,Common,Land,sprites/geodude.png
54,Route 207,Geodude,74,1,1,1,6,9,Everstone,0,Common,Land,sprites/geodude.png
55,Route 210,Geodude,74,1,1,1,17,21,Everstone,0,Common,Land,sprites/geodude.png
56,Route 215,Geodude,74,1,1,1,21,23,Hard Stone,0,Common,Land,sprites/geodude.png
57,Route 46,Geodude,74,1,1,1,4,6,Hard Stone,0,Common,Land,sprites/geodude.png
58,Rusturf Tunnel,Geodude,74,1,1,1,5,10,,0,Common,Land,sprites/geodude.png
59,Sevault Canyon,Geodude,74,1,1,1,12,49,,0,Common,Land,sprites/geodude.png
60,Stark Mountain Entrance,Geodude,74,1,1,1,56,60,,0,Common,Land,sprites/geodude.png
61,Stevens Cave,Geodude,74,1,1,1,14,20,,0,Common,Land,sprites/geodude.png
62,Suzuka Cave B1F,Geodude,74,1,1,1,21,23,Hard Stone,0,Common,Land,sprites/geodude.png
63,Three Isle Path,Geodude,74,1,1,1,10,20,Hard Stone,0,Common,Land,sprites/geodude.png
64,Underground Path Sinnoh Entrance,Geodude,74,1,1,1,25,30,Hard Stone,0,Common,Land,sprites/geodude.png
65,Union Cave 1F,Geodude,74,1,1,1,8,10,Hard Stone,0,Common,Land,sprites/geodude.png
66,Union Cave B1F,Geodude,74,1,1,1,8,10,Hard Stone,0,Common,Land,sprites/geodude.png
67,Valor Lakefront,Geodude,74,1,1,1,24,28,,0,Common,Land,sprites/geodude.png
68,Victory Road Hoenn B1F,Geodude,74,1,1,1,42,48,,0,Common,Land,sprites/geodude.png
69,Vulcan Cavern Cave,Geodude,74,1,1,1,20,22,Hard Stone,0,Common,Land,sprites/geodude.png
70,Vulcan Lava Pit,Geodude,74,1,1,1,20,23,Hard Stone,0,Common,Land,sprites/geodude.png
71,Abandoned Desert Village,Houndour,228,0,0,1,10,14,,0,Rare,Land,sprites/houndour.png
72,Altering Cave,Houndour,228,0,0,1,12,25,,0,Rare,Land,sprites/houndour.png
73,Evergreen Island Valley,Houndour,228,1,1,1,15,17,Charcoal,0,Rare,Land,sprites/houndour.png
74,Forest Pit,Houndour,228,0,0,1,26,30,,0,Rare,Land,sprites/houndour.png
75,Forlorn Nesting Grounds,Houndour,228,1,1,1,28,32,Charcoal,0,Rare,Land,sprites/houndour.png
76,Hoenn Safari Zone Area 6,Houndour,228,0,0,1,28,32,Charcoal,0,Rare,Land,sprites/houndour.png
77,Route 215,Houndour,228,1,1,1,21,25,Charcoal,0,Rare,Land,sprites/houndour.png
78,Route 36,Houndour,228,1,0,1,21,23,,0,Rare,Land,sprites/houndour.png
