Map,Pokemon,DexID,Morning,Day,Night,MinLvl,MaxLvl,Item,Member,Tier,Fishing,FishingOnly,RequiredRod
Abandoned Ship B1F Room 3,Magikarp,129,1,1,1,28,35,,0,Common,1,1,Old Rod
Abandoned Ship B1F Room 3,Tentacool,72,1,1,1,28,35,,0,Common,1,0,Old Rod
Abandoned Ship B1F Room 3,Tentacruel,73,1,1,1,30,35,,0,Common,1,0,Good Rod
Alto Mare,Azurill,298,1,1,1,32,36,,0,Rare,0,0,
Alto Mare,Clauncher,692,1,1,1,36,40,,0,Rare,0,0,
Alto Mare,Golduck,55,1,1,1,36,40,,0,Common,0,0,
Alto Mare,Poliwhirl,61,1,1,1,36,40,Kings Rock,0,Common,0,0,
Alto Mare,Seadra,117,1,1,1,36,40,Dragon Scale,0,Common,0,0,
Alto Mare,Squirtle,7,1,1,1,36,40,,0,Rare,0,0,
Alto Mare,Wingull,278,1,1,1,36,40,,0,Common,0,0,
Alto Mare Chained ,Golduck,55,1,1,1,36,40,,0,Common,0,0,
Alto Mare Chained ,Marill,183,1,1,1,36,40,,0,Uncommon,0,0,
Alto Mare Chained ,Poliwhirl,61,1,1,1,36,40,,0,Uncommon,0,0,
Alto Mare Chained ,Seadra,117,1,1,1,36,40,,0,Uncommon,0,0,
Alto Mare Chained ,Squirtle,7,1,1,1,36,40,,0,Rare,0,0,
Alto Mare Chained ,Wartortle,8,1,1,1,36,40,,0,Rare,0,0,
Alto Mare Chained ,Wingull,278,1,1,1,36,40,,0,Common,0,0,
Alto Mare East Avenue ,Goldeen,118,1,1,1,5,5,,0,Common,0,0,
Alto Mare East Avenue ,Poliwag,60,1,1,1,5,5,,0,Common,0,0,
Alto Mare East Avenue ,Surskit,283,1,1,1,5,5,SilverPowder,0,Common,0,0,
Alto Mare National Park,Horsea,116,1,1,1,10,15,Dragon Scale,0,Common,0,0,
Alto Mare National Park,Luvdisc,370,1,1,1,10,15,,0,Uncommon,0,0,
Alto Mare National Park,Magikarp,129,1,1,1,10,15,,0,Common,0,0,
Alto Mare National Park,Mantyke,458,1,1,1,10,15,,0,Uncommon,0,0,
Alto Mare National Park,Marill,183,1,1,1,10,15,,0,Uncommon,0,0,
Alto Mare National Park,Pikachu,25,1,1,1,10,15,Light Ball,0,Uncommon,0,0,
Alto Mare National Park,Psyduck,54,1,1,1,10,15,,0,Common,0,0,
Alto Mare National Park,Squirtle,7,1,1,1,10,15,,0,Rare,0,0,
Alto Mare Secret Garden,Alomomola,594,1,1,1,10,15,,0,Rare,0,0,
Alto Mare Secret Garden,Froakie,656,1,1,1,10,15,,0,Rare,0,0,
