,Map,Pokemon,DexID,MinLvl,MaxLvl,Item,Member,Tier,Type,Path,Time,Level,base_map,Map_x,Region,MaxMinLvl,IsHighestMin,HighestMinCount,IsRepellable,Repel,Tier Count
0,Abandoned Desert Village,Geodude,74,10,14,Everstone,,Common,Land,sprites/geodude.png,M/D/Ni,10-14,Abandoned Desert Village,Abandoned Desert Village,,10,True,7,False,,3
1,Abandoned Desert Village,Houndour,228,10,14,,,Rare,Land,sprites/houndour.png,Ni,10-14,Abandoned Desert Village,Abandoned Desert Village,,10,True,7,False,,2
2,Abandoned Desert Village,Lillipup,506,10,14,,Required,Uncommon,Land,sprites/lillipup.png,M/D/Ni,10-14,Abandoned Desert Village,Abandoned Desert Village,,10,True,7,False,,2
3,Abandoned Desert Village,Machop,66,10,14,Focus Band,,Common,Land,sprites/machop.png,D,10-14,Abandoned Desert Village,Abandoned Desert Village,,10,True,7,False,,3
4,Abandoned Desert Village,Makuhita,296,10,14,Black Belt,,Uncommon,Land,sprites/makuhita.png,M/D/Ni,10-14,Abandoned Desert Village,Abandoned Desert Village,,10,True,7,False,,2
5,Abandoned Desert Village,Sandshrew,27,10,14,Quick Claw,,Common,Land,sprites/sandshrew.png,M/D/Ni,10-14,Abandoned Desert Village,Abandoned Desert Village,,10,True,7,False,,3
6,Abandoned Desert Village,Trapinch,328,10,14,,,Rare,Land,sprites/trapinch.png,M/D,10-14,Abandoned Desert Village,Abandoned Desert Village,,10,True,7,False,,2
7,Acuity Lakefront,Machoke,67,35,36,Payapa Berry,,Common,Land,sprites/machoke.png,M/D/Ni,35-36,Acuity Lakefront,Acuity Lakefront,Sinnoh,39,False,7,False,,4
8,Acuity Lakefront,Meditite,307,39,39,Expert Belt,,Rare,Land,sprites/meditite.png,M/D/Ni,39-39,Acuity Lakefront,Acuity Lakefront,Sinnoh,39,True,1,False,,2
9,Acuity Lakefront,Sneasel,215,35,39,Razor Claw,,Uncommon,Land,sprites/sneasel.png,M/D/Ni,35-39,Acuity Lakefront,Acuity Lakefront,Sinnoh,39,False,7,False,,2
10,Acuity Lakefront,Snorunt,361,35,39,Babiri Berry,,Uncommon,Land,sprites/snorunt.png,M/D/Ni,35-39,Acuity Lakefront,Acuity Lakefront,Sinnoh,39,False,7,False,,2
11,Acuity Lakefront,Snover,459,35,35,Icy Rock,Required,Rare,Land,sprites/snover.png,M/D/Ni,35-35,Acuity Lakefront,Acuity Lakefront,Sinnoh,39,False,7,False,,2
12,Acuity Lakefront,Teddiursa,216,35,39,Sitrus Berry,,Common,Land,sprites/teddiursa.png,M/D/Ni,35-39,Acuity Lakefront,Acuity Lakefront,Sinnoh,39,False,7,False,,4
13,Acuity Lakefront,Ursaring,217,35,39,Sitrus Berry,,Common,Land,sprites/ursaring.png,M/D/Ni,35-39,Acuity Lakefront,Acuity Lakefront,Sinnoh,39,False,7,False,,4
14,Acuity Lakefront,Zubat,41,35,39,,,Common,Land,sprites/zubat.png,M/D/Ni,35-39,Acuity Lakefront,Acuity Lakefront,Sinnoh,39,False,7,False,,4
15,Altering Cave,Aipom,190,12,25,,,Uncommon,Land,sprites/aipom.png,D,12-25,Altering Cave,Altering Cave,,25,False,9,False,,1
16,Altering Cave,Houndour,228,12,25,,,Rare,Land,sprites/houndour.png,Ni,12-25,Altering Cave,Altering Cave,,25,False,9,False,,4
17,Altering Cave,Mareep,179,12,25,,,Common,Land,sprites/mareep.png,M/D/Ni,12-25,Altering Cave,Altering Cave,,25,False,9,False,,5
18,Altering Cave,Pineco,204,12,25,,,Rare,Land,sprites/pineco.png,M/D,12-25,Altering Cave,Altering Cave,,25,False,9,False,,4
19,Altering Cave,Sandshrew,27,12,25,,,Common,Land,sprites/sandshrew.png,M/D/Ni,12-25,Altering Cave,Altering Cave,,25,False,9,False,,5
20,Altering Cave,Shuckle,213,12,25,Berry Juice,,Rare,Land,sprites/shuckle.png,M/D/Ni,12-25,Altering Cave,Altering Cave,,25,False,9,False,,4
21,Altering Cave,Smeargle,235,12,25,,,Rare,Land,sprites/smeargle.png,M,12-25,Altering Cave,Altering Cave,,25,False,9,False,,4
22,Altering Cave,Stantler,234,12,25,,,Common,Land,sprites/stantler.png,M/D/Ni,12-25,Altering Cave,Altering Cave,,25,False,9,False,,5
23,Altering Cave,Teddiursa,216,25,25,,,Common,Land,sprites/teddiursa.png,M/D/Ni,25-25,Altering Cave,Altering Cave,,25,True,1,False,,5
24,Altering Cave,Zubat,41,12,25,,,Common,Land,sprites/zubat.png,M/D/Ni,12-25,Altering Cave,Altering Cave,,25,False,9,False,,5
25,Alto Mare National Park,Bonsly,438,30,34,,,Rare,Land,sprites/bonsly.png,M/D/Ni,30-34,Alto Mare National Park,Alto Mare National Park,Johto,30,True,8,False,,2
26,Alto Mare National Park,Farfetchd,83,30,34,Stick,,Uncommon,Land,sprites/farfetchd.png,M/D/Ni,30-34,Alto Mare National Park,Alto Mare National Park,Johto,30,True,8,False,,3
27,Alto Mare National Park,Furret,162,30,34,Sitrus Berry,,Common,Land,sprites/furret.png,M/D/Ni,30-34,Alto Mare National Park,Alto Mare National Park,Johto,30,True,8,False,,3
28,Alto Mare National Park,Pikachu,25,30,34,Light Ball,,Uncommon,Land,sprites/pikachu.png,M/D/Ni,30-34,Alto Mare National Park,Alto Mare National Park,Johto,30,True,8,False,,3
29,Alto Mare National Park,Roselia,315,30,34,Poison Barb,,Uncommon,Land,sprites/roselia.png,M/D/Ni,30-34,Alto Mare National Park,Alto Mare National Park,Johto,30,True,8,False,,3
30,Alto Mare National Park,Scyther,123,30,34,Metal Coat,,Rare,Land,sprites/scyther.png,M/D/Ni,30-34,Alto Mare National Park,Alto Mare National Park,Johto,30,True,8,False,,2
31,Alto Mare National Park,Sentret,161,30,34,,,Common,Land,sprites/sentret.png,M/D/Ni,30-34,Alto Mare National Park,Alto Mare National Park,Johto,30,True,8,False,,3
32,Alto Mare National Park,Venonat,48,30,34,,,Common,Land,sprites/venonat.png,M/D/Ni,30-34,Alto Mare National Park,Alto Mare National Park,Johto,30,True,8,False,,3
33,Alto Mare Secret Garden,Chespin,650,22,26,,,Rare,Land,sprites/chespin.png,M/D/Ni,22-26,Alto Mare Secret Garden,Alto Mare Secret Garden,Johto,30,False,4,False,,3
34,Alto Mare Secret Garden,Growlithe,58,20,22,Rawst Berry,,Common,Land,sprites/growlithe.png,M/D/Ni,20-22,Alto Mare Secret Garden,Alto Mare Secret Garden,Johto,30,False,4,False,,4
35,Alto Mare Secret Garden,Munchlax,446,22,26,Leftovers,,Rare,Land,sprites/munchlax.png,M/D/Ni,22-26,Alto Mare Secret Garden,Alto Mare Secret Garden,Johto,30,False,4,False,,3
36,Alto Mare Secret Garden,Nuzleaf,274,30,34,Power Herb,,Common,Land,sprites/nuzleaf.png,M/D/Ni,30-34,Alto Mare Secret Garden,Alto Mare Secret Garden,Johto,30,True,4,False,,4
37,Alto Mare Secret Garden,Pansage,511,30,34,Occa Berry,,Uncommon,Land,sprites/pansage.png,M/D/Ni,30-34,Alto Mare Secret Garden,Alto Mare Secret Garden,Johto,30,True,4,False,,1
