,Map,Pokemon,DexID,MinLvl,MaxLvl,Item,Member,Tier,Type,Path,Time,Level,base_map,Map_x,Region,MaxMinLvl,IsHighestMin,HighestMinCount,IsRepellable,Repel
0,Abandoned Desert Village,Geodude,74,10,14,Everstone,,Common,Land,sprites/geodude.png,M/D/Ni,10-14,Abandoned Desert Village,Abandoned Desert Village,,10,True,7,False,
1,Abandoned Desert Village,Houndour,228,10,14,,,Rare,Land,sprites/houndour.png,Ni,10-14,Abandoned Desert Village,Abandoned Desert Village,,10,True,7,False,
2,Abandoned Desert Village,Lillipup,506,10,14,,Required,Uncommon,Land,sprites/lillipup.png,M/D/Ni,10-14,Abandoned Desert Village,Abandoned Desert Village,,10,True,7,False,
3,Abandoned Desert Village,Machop,66,10,14,Focus Band,,Common,Land,sprites/machop.png,D,10-14,Abandoned Desert Village,Abandoned Desert Village,,10,True,7,False,
4,Abandoned Desert Village,Makuhita,296,10,14,Black Belt,,Uncommon,Land,sprites/makuhita.png,M/D/Ni,10-14,Abandoned Desert Village,Abandoned Desert Village,,10,True,7,False,
5,Abandoned Desert Village,Sandshrew,27,10,14,Quick Claw,,Common,Land,sprites/sandshrew.png,M/D/Ni,10-14,Abandoned Desert Village,Abandoned Desert Village,,10,True,7,False,
6,Abandoned Desert Village,Trapinch,328,10,14,,,Rare,Land,sprites/trapinch.png,M/D,10-14,Abandoned Desert Village,Abandoned Desert Village,,10,True,7,False,
7,Breezy Cave,Geodude,74,17,21,Spring Brush Yellow,,Common,Land,sprites/geodude.png,M/D/Ni,17-21,Breezy Cave,Breezy Cave,,17,True,8,False,
8,Breezy Cave,Sandshrew,27,17,21,,,Common,Land,sprites/sandshrew.png,M/D/Ni,17-21,Breezy Cave,Breezy Cave,,17,True,8,False,
9,Breezy Cave,Bronzor,436,17,21,,,Common,Land,sprites/bronzor.png,M/D/Ni,17-21,Breezy Cave,Breezy Cave,,17,True,8,False,
10,Breezy Cave,Chansey,113,17,21,,,Rare,Land,sprites/chansey.png,M/D/Ni,17-21,Breezy Cave,Breezy Cave,,17,True,8,False,
11,Breezy Cave,Cubone,104,17,21,,,Uncommon,Land,sprites/cubone.png,M/D/Ni,17-21,Breezy Cave,Breezy Cave,,17,True,8,False,
12,Breezy Cave,Happiny,440,17,21,,,Rare,Land,sprites/happiny.png,M/D/Ni,17-21,Breezy Cave,Breezy Cave,,17,True,8,False,
13,Breezy Cave,Kangaskhan,115,17,21,,,Rare,Land,sprites/kangaskhan.png,M/D/Ni,17-21,Breezy Cave,Breezy Cave,,17,True,8,False,
14,Breezy Cave,Onix,95,17,21,,,Common,Land,sprites/onix.png,M/D/Ni,17-21,Breezy Cave,Breezy Cave,,17,True,8,False,
15,Cave Of Justice,Geodude,74,26,30,,,Common,Land,sprites/geodude.png,M/D/Ni,26-30,Cave Of Justice,Cave Of Justice,,26,True,8,False,
16,Cave Of Justice,Zubat,41,26,30,,,Common,Land,sprites/zubat.png,M/D/Ni,26-30,Cave Of Justice,Cave Of Justice,,26,True,8,False,
17,Cave Of Justice,Golbat,42,26,30,,,Common,Land,sprites/golbat.png,M/D/Ni,26-30,Cave Of Justice,Cave Of Justice,,26,True,8,False,
18,Cave Of Justice,Growlithe,58,26,30,,,Uncommon,Land,sprites/growlithe.png,M/D/Ni,26-30,Cave Of Justice,Cave Of Justice,,26,True,8,False,
19,Cave Of Justice,Bronzor,436,26,30,,,Uncommon,Land,sprites/bronzor.png,M/D/Ni,26-30,Cave Of Justice,Cave Of Justice,,26,True,8,False,
20,Cave Of Justice,Absol,359,26,30,,Required,Rare,Land,sprites/absol.png,M/D/Ni,26-30,Cave Of Justice,Cave Of Justice,,26,True,8,False,
